National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  gender: 2023-24"

Completion Year,State,Total,Male,Female
2015-16,New Mexico,189,154,35
2015-16,New York,"4,743","3,788",955
2015-16,North Carolina,"1,521","1,209",312
2015-16,North Dakota,139,121,18
2015-16,Ohio,"1,317","1,095",222
2015-16,Oklahoma,494,413,81
2015-16,Oregon,695,576,119
2015-16,Pennsylvania,"3,231","2,543",688
2015-16,Rhode Island,370,288,82
2015-16,South Carolina,660,505,155
2015-16,South Dakota,191,159,32
2015-16,Tennessee,726,601,125
2015-16,Texas,"3,345","2,674",671
2015-16,Utah,"2,532","2,274",258
2015-16,Vermont,187,170,17
2015-16,Virginia,"2,588","2,111",477
2015-16,Washington,"1,551","1,226",325
2015-16,West Virginia,712,602,110
2015-16,Wisconsin,"1,053",869,184
2015-16,Wyoming,32,27,5
2014-15,Total,"59,586","48,844","10,742"
2014-15,Alabama,689,549,140
2014-15,Alaska,33,29,4
2014-15,Arizona,"2,577","2,057",520
2014-15,Arkansas,344,304,40
2014-15,California,"5,398","4,502",896
2014-15,Colorado,"1,329","1,096",233
2014-15,Connecticut,404,343,61
2014-15,Delaware,196,150,46
2014-15,District of Columbia,212,128,84
2014-15,Florida,"3,258","2,605",653
2014-15,Georgia,"2,023","1,627",396
2014-15,Hawaii,213,178,35
2014-15,Idaho,342,296,46
2014-15,Illinois,"2,496","2,124",372
2014-15,Indiana,"1,737","1,428",309
2014-15,Iowa,627,494,133
2014-15,Kansas,470,398,72
2014-15,Kentucky,452,366,86
2014-15,Louisiana,403,333,70
2014-15,Maine,121,100,21
2014-15,Maryland,"3,039","2,413",626
2014-15,Massachusetts,"2,000","1,542",458
2014-15,Michigan,"1,873","1,568",305
2014-15,Minnesota,"1,340","1,096",244
2014-15,Mississippi,157,139,18
2014-15,Missouri,"1,266","1,040",226
2014-15,Montana,75,67,8
2014-15,Nebraska,455,380,75
2014-15,Nevada,162,127,35
2014-15,New Hampshire,396,315,81
2014-15,New Jersey,"1,214","1,030",184
2014-15,New Mexico,195,153,42
2014-15,New York,"4,017","3,274",743
2014-15,North Carolina,"1,375","1,094",281
2014-15,North Dakota,120,111,9
2014-15,Ohio,"1,300","1,074",226
2014-15,Oklahoma,471,404,67
2014-15,Oregon,607,516,91
2014-15,Pennsylvania,"3,125","2,495",630
2014-15,Rhode Island,348,290,58
2014-15,South Carolina,599,458,141
2014-15,South Dakota,189,156,33
2014-15,Tennessee,750,612,138
2014-15,Texas,"3,054","2,499",555
2014-15,Utah,"2,315","2,090",225
2014-15,Vermont,163,134,29
2014-15,Virginia,"2,573","2,124",449
2014-15,Washington,"1,345","1,066",279
2014-15,West Virginia,675,567,108
2014-15,Wisconsin,"1,039",880,159
2014-15,Wyoming,25,23,2
2013-14,Total,"55,271","45,320","9,951"
2013-14,Alabama,636,498,138
2013-14,Alaska,31,28,3
2013-14,Arizona,"3,092","2,431",661
2013-14,Arkansas,282,233,49
2013-14,California,"5,186","4,341",845
2013-14,Colorado,"1,289","1,066",223
2013-14,Connecticut,271,228,43
2013-14,Delaware,160,136,24
2013-14,District of Columbia,192,136,56
2013-14,Florida,"2,897","2,333",564
2013-14,Georgia,"1,816","1,445",371
2013-14,Hawaii,221,177,44
2013-14,Idaho,294,264,30
2013-14,Illinois,"2,478","2,069",409
2013-14,Indiana,"1,452","1,220",232
2013-14,Iowa,789,620,169
2013-14,Kansas,405,333,72
2013-14,Kentucky,415,347,68
2013-14,Louisiana,362,281,81
2013-14,Maine,97,87,10
2013-14,Maryland,"2,576","2,020",556
2013-14,Massachusetts,"1,709","1,346",363
2013-14,Michigan,"1,713","1,450",263
2013-14,Minnesota,"1,203",993,210
2013-14,Mississippi,153,132,21
2013-14,Missouri,985,839,146
2013-14,Montana,105,98,7
2013-14,Nebraska,508,427,81
2013-14,Nevada,209,164,45
2013-14,New Hampshire,320,270,50
2013-14,New Jersey,992,849,143
2013-14,New Mexico,180,146,34
2013-14,New York,"3,789","3,133",656
2013-14,North Carolina,"1,339","1,065",274
2013-14,North Dakota,116,100,16
2013-14,Ohio,"1,310","1,101",209
2013-14,Oklahoma,426,349,77
2013-14,Oregon,466,394,72
2013-14,Pennsylvania,"3,120","2,446",674
2013-14,Rhode Island,311,251,60
2013-14,South Carolina,513,403,110
2013-14,South Dakota,189,153,36
2013-14,Tennessee,654,545,109
2013-14,Texas,"2,514","2,068",446
2013-14,Utah,"1,937","1,723",214
2013-14,Vermont,169,149,20
2013-14,Virginia,"2,571","2,086",485
2013-14,Washington,"1,219",995,224
2013-14,West Virginia,572,468,104
2013-14,Wisconsin,"1,020",868,152
2013-14,Wyoming,18,16,2
2012-13,Total,"50,961","41,874","9,087"
2012-13,Alabama,594,465,129
2012-13,Alaska,31,30,1
2012-13,Arizona,"3,664","2,895",769
2012-13,Arkansas,257,216,41
2012-13,California,"4,338","3,625",713
2012-13,Colorado,974,808,166
2012-13,Connecticut,241,195,46
2012-13,Delaware,156,133,23
2012-13,District of Columbia,203,149,54
2012-13,Florida,"2,682","2,135",547
2012-13,Georgia,"1,605","1,299",306
2012-13,Hawaii,134,116,18
2012-13,Idaho,290,247,43
2012-13,Illinois,"2,537","2,122",415
2012-13,Indiana,"1,418","1,197",221
2012-13,Iowa,867,658,209
2012-13,Kansas,364,302,62
2012-13,Kentucky,375,322,53
2012-13,Louisiana,360,290,70
2012-13,Maine,83,66,17
2012-13,Maryland,"2,228","1,750",478
2012-13,Massachusetts,"1,412","1,140",272
2012-13,Michigan,"1,620","1,389",231
2012-13,Minnesota,"1,090",911,179
2012-13,Mississippi,146,125,21
2012-13,Missouri,"1,097",940,157
2012-13,Montana,84,72,12
2012-13,Nebraska,392,344,48
2012-13,Nevada,181,138,43
2012-13,New Hampshire,200,177,23
2012-13,New Jersey,908,758,150
2012-13,New Mexico,222,175,47
2012-13,New York,"3,394","2,837",557
2012-13,North Carolina,"1,224",971,253
2012-13,North Dakota,111,100,11
2012-13,Ohio,"1,287","1,055",232
2012-13,Oklahoma,379,330,49
2012-13,Oregon,439,379,60
2012-13,Pennsylvania,"2,924","2,340",584
2012-13,Rhode Island,290,241,49
2012-13,South Carolina,464,373,91
2012-13,South Dakota,182,150,32
2012-13,Tennessee,680,554,126
2012-13,Texas,"2,153","1,748",405
2012-13,Utah,"1,621","1,442",179
2012-13,Vermont,197,168,29
2012-13,Virginia,"2,453","2,039",414
2012-13,Washington,"1,073",860,213
2012-13,West Virginia,511,422,89
2012-13,Wisconsin,803,657,146
2012-13,Wyoming,23,19,4
2011-12,Total,"47,406","38,796","8,610"
2011-12,Alabama,610,484,126
2011-12,Alaska,35,32,3
2011-12,Arizona,"3,711","2,852",859
2011-12,Arkansas,287,231,56
2011-12,California,"3,905","3,209",696
2011-12,Colorado,889,752,137
2011-12,Connecticut,244,199,45
2011-12,Delaware,127,98,29
2011-12,District of Columbia,179,125,54
2011-12,Florida,"2,369","1,926",443
2011-12,Georgia,"1,425","1,124",301
2011-12,Hawaii,132,106,26
2011-12,Idaho,239,203,36
2011-12,Illinois,"2,501","2,059",442
2011-12,Indiana,"1,313","1,097",216
